"code_7","pc_1"
2103005,-0.266563045581973
2103010,0.0553558385210572
2103015,-0.0550059162577654
2103020,-0.319672489594555
2103025,-0.160305393431532
2103030,-0.153980648789669
2103035,-0.199279491623103
2103040,-0.159019064802621
2103045,0.127369311629849
2103050,-0.0859701040606818
2103055,-0.260847579948178
2103060,-0.02730658194382
2103065,-0.136257539572843
2103070,0.0974971525578733
2103075,-0.0218585460289469
2103080,-0.0109728012390499
2103085,-0.176690976719584
2103090,-0.197343265517924
2103095,-0.171565966597356
2103100,0.0384030167227912
2103105,0.0324873991892023
2103110,0.0525648427560014
2103115,0.0580045406488994
2103120,0.123805610856327
2103125,-0.0278350121942381
2103130,0.19823026149308
2103135,-0.0150002966607592
2103140,0.00690938187143949
2103145,-0.141466689154965
2103150,-0.0525764195036929
2103155,-0.272092128131009
2103160,-0.0629802836063045
2103165,-0.313802398050057
2103170,-0.197812629331182
2103175,-0.114785626526755
2103180,-0.136701984913698
2103185,0.0385545805848393
2103190,0.0131744185457431
2103195,-0.110764741911566
2103200,-0.0723971102931871
2103205,-0.241367791651481
2103210,-0.173214989187788
2103215,-0.0308809033274287
2103220,-0.0251178574557183
2103225,-0.214082835978473
2103230,-0.0876827882039122
2103235,-0.197970956042439
2103240,0.0326219992417698
2103245,0.118641690065522
2103250,-0.111980177065606
2103255,0.0432201143855878
2103260,-0.0596252618371742
2103265,0.0924750818401131
2103270,-0.0292040039067667
2103275,0.107404655479345
2103280,0.0530638733290883
2103285,-0.0121732811572813
2103290,0.0210198758117117
2103295,-0.195821556310404
2103300,-0.219404668081919
2103305,-0.0492015592373465
2103310,-0.154188481836881
2103315,-0.120679129639369
2103320,-0.0789259442773346
2103325,-0.0296754395419327
2103330,-0.121002778411637
2103335,-0.0235891309753063
2106005,-0.213130271638501
2106010,-0.0282270811435288
2106015,-0.116931493203232
2106020,-0.11743231300766
2106025,-0.0588043645447559
2106030,-0.0761806872641158
2106035,-0.0641147390352105
2106040,-0.0617236271091444
2106045,-0.0948752209759324
2106050,-0.347911434664719
2106055,-0.0252737940299433
2106060,-0.112491306619271
2106065,0.0503415048867209
2106070,0.0279693605490744
2106075,-0.0736597536147888
2106080,-0.17624841265027
2106085,-0.13790121970391
2106090,0.00939326578797856
2106095,-0.147369854170788
2106100,-0.148356514616502
2106105,-0.0127116388291615
2106110,-0.103285445978972
2106115,-0.133833475317682
2106120,-0.00317218292308905
2106125,0.0579140814680604
2106130,-0.118647361064521
2106135,-0.123466173054805
2106140,-0.130591414933299
2106145,-0.183182322217401
2106150,-0.133892537953986
2106155,-0.1780214527494
2106160,-0.0462426656092896
2106165,0.0945798243182993
2106170,0.0424838892247806
2106175,-0.0127256035841802
2106180,0.0288251987866198
2106185,0.0260800025163772
2106190,-0.0310135434541884
2106195,0.0132240834929066
2106200,-0.0228721271959091
2106205,0.106615885798513
2106210,-0.131014663398339
2106215,-0.084036442087607
2106220,0.0510957467272657
2106225,0.0135392716862781
2106230,-0.0502526488847736
2106235,-0.0984502849920806
2106240,-0.0141448235557566
2106245,0.105388671380218
2106250,0.057799403794662
2106255,0.0923662955412975
2106260,0.0559968374993968
2106265,0.0701761527788437
2106270,0.0423543004835241
2106275,-0.0883231953440461
2106280,-0.089317098227986
2106285,-0.061214198901844
2106290,0.0626826227118116
2106295,0.112745270979381
2106300,-0.00181321940320473
2106305,-0.0400023885817372
2106310,-0.144921747553965
2106315,-0.235400612450541
2106320,-0.0405144146184951
2106325,0.0234041197648903
2106330,-0.213918067694641
2106335,-0.038150168009359
2109005,-0.230950773625982
2109010,-0.263355558407066
2109015,-0.140654147413662
2109020,-0.0840816495594713
2109025,-0.107103328245892
2109030,-0.217070095457743
2109035,-0.128791469548565
2109040,0.018705938486667
2109045,-0.12915100446705
2109050,-0.154798747703903
2109055,-0.181580989616193
2109060,0.0139217007741676
2109065,-0.151802746542739
2109070,-0.0803776777728125
2109075,-0.1351770451469
2109080,-0.0454957359741085
2109085,-0.0431021676560641
2109090,-0.0758124546277057
2109095,-0.0396566433289208
2109100,-0.0428750604220734
2109105,-0.14908728700064
2109110,-0.0541963365762706
2109115,-0.115251322962838
2109120,-0.023800912507024
2109125,-0.147660450486648
2109130,-0.0192046546871165
2109135,-0.169019403685501
2109140,-0.136806501533355
2109145,-0.166798007209954
2109150,-0.2046125871984
2109155,-0.0171124015730991
2109160,-0.113804385715116
2109165,-0.0232909660242578
2109170,-0.0529319887668596
2109175,-0.141334159217158
2112005,0.0394362906730779
2112010,-0.148632470879616
2112015,-0.0193828319734918
2112020,0.0120031675068379
2112025,-0.00756605612333769
2112030,0.0265027880030343
2112035,-0.0509696014254615
2112040,0.0850405952020679
2112045,0.0393881100806566
2112050,0.129239734206695
2112055,-0.0275319020037665
2112060,-0.0840565268558229
2112065,-0.0588519249562921
2112070,0.0548112355311777
2112075,0.0401698894995122
2112080,-0.241462937185232
2112085,-0.0303125898630763
2112090,0.0695534702988056
2112095,0.0540273800168312
2112100,-0.0814696027871344
2112105,-0.131108693787785
2112110,0.0539718440968207
2112115,0.0727638925941069
2112120,0.122249306194978
2112125,-0.00578196023017391
2112130,-0.0579045257212434
2112135,0.0706954910354744
2112140,-0.0496658978171421
2112145,-0.102755301743435
2112150,-0.259992030706589
2112155,-0.221260789742676
2112160,-0.275821368278835
2112165,0.0670782949940482
2112170,0.0425067896584836
2112175,-0.112074980084286
2112180,-0.0501124767574166
2112185,-0.0845024227861423
2112190,-0.0933178871834477
2112195,0.0467769743145321
2112200,0.111573847789204
2112205,0.0132690756073072
2112210,-0.0600908869267988
2112215,-0.108102751102921
2112220,-0.0797007536852486
